Province_State,Country_Region,Last_Update,Population,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,1/31/2021 5:30,4779736,32.3182,-86.9023,455582,7566,242143,205873,1,9291.552328,2127308,,1.660732865,84000001,USA,43386.24792,
Alaska,US,1/31/2021 5:30,710231,61.3707,-152.4044,54216,262,,53954,2,7411.164043,1495885,,0.483252176,84000002,USA,204482.9778,
American Samoa,US,1/31/2021 5:30,55519,-14.271,-170.132,0,0,,0,60,0,2140,,,16,ASM,3846.084722,
Arizona,US,1/31/2021 5:30,6392017,33.7298,-111.4312,753379,13098,102678,637603,4,10350.43676,3440127,,1.738567175,84000004,USA,47262.82118,
Arkansas,US,1/31/2021 5:30,2915918,34.9697,-92.3731,294387,4838,271911,17638,5,9755.007283,2420194,,1.643414961,84000005,USA,80197.18974,
California,US,1/31/2021 8:30,37253956,36.1162,-119.6816,3310949,40702,,3270247,6,8379.556372,41980456,,1.229315221,84000006,USA,106246.7581,
Colorado,US,1/31/2021 5:30,5029196,39.0598,-105.3111,395019,5620,20970,368429,8,6859.474023,5426059,,1.422716376,84000008,USA,94223.08993,
Connecticut,US,1/31/2021 5:30,3574097,41.5978,-72.7554,250023,7046,9800,233177,9,7012.703325,5708292,,2.818140731,84000009,USA,160107.5033,
Delaware,US,1/31/2021 5:30,897934,39.3185,-75.5071,77551,1081,,76470,10,7964.044676,1221186,,1.393921419,84000010,USA,125408.826,
Diamond Princess,US,1/31/2021 5:30,,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,1/31/2021 5:30,601723,38.8974,-77.0268,36662,909,25722,10031,11,5194.764711,1092609,,2.47940647,84000011,USA,154815.5222,
Florida,US,1/31/2021 5:30,18801310,27.7663,-81.6868,1713589,26360,,1687229,12,7978.44298,19027767,,1.538291854,84000012,USA,88592.97886,
Georgia,US,1/31/2021 5:30,9687653,33.0406,-83.6431,905858,14196,,891662,13,8531.806635,6425042,,1.567133039,84000013,USA,60514.13794,
Grand Princess,US,1/31/2021 5:30,,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,1/31/2021 5:30,159358,13.4443,144.7937,7579,129,7355,95,66,4614.897491,106129,,1.702071513,316,GUM,64622.5697,
Hawaii,US,1/31/2021 5:30,1360301,21.0943,-157.4983,25994,406,,25588,15,1835.90042,982906,,1.5618989,84000015,USA,69420.54084,
Idaho,US,1/31/2021 5:30,1567582,44.2405,-114.4788,162683,1725,81034,79924,16,9103.362217,601646,,1.060344351,84000016,USA,33666.7105,
Illinois,US,1/31/2021 5:30,12830632,40.3495,-88.9861,1123873,21213,,1102660,17,8842.675413,15952421,,1.88714606,84000017,USA,125888.9389,
Indiana,US,1/31/2021 5:30,6483802,39.8494,-86.2583,624959,9967,404922,210070,18,9283.105615,6976408,,1.59482462,84000018,USA,103627.1696,
Iowa,US,1/31/2021 5:30,3046355,42.0115,-93.2105,319110,4651,281466,32993,19,10114.19715,1251252,,1.457491147,84000019,USA,39658.45449,
Kansas,US,1/31/2021 5:30,2853118,38.5266,-96.7265,276956,3767,5647,267542,20,9506.561943,1168723,,1.36014385,84000020,USA,40116.61633,
Kentucky,US,1/31/2021 5:30,4339367,37.6681,-84.6701,361115,3714,43298,314103,21,8082.843127,3590222,,1.028481232,84000021,USA,80359.99949,
Louisiana,US,1/31/2021 5:30,4533372,31.1695,-91.8678,397276,8801,344321,44154,22,8545.786283,4964052,,2.215336441,84000022,USA,106781.5008,
Maine,US,1/31/2021 5:30,1328361,44.6939,-69.3819,39168,590,12398,26180,23,2913.826093,1376441,,1.506331699,84000023,USA,102397.6129,
Maryland,US,1/31/2021 5:30,5773552,39.0639,-76.8021,352726,7107,9491,336128,24,5834.347832,6966924,,2.014878404,84000024,USA,115238.0543,
Massachusetts,US,1/31/2021 5:30,6547629,42.2302,-71.5301,521360,14531,389717,117112,25,7564.160654,13538980,,2.78713365,84000025,USA,196430.5275,
